Timestamp,MQ4,MQ3,MQ7,MQ135,MQ136,Temp,Hum,PM,Label,Time
15:19:13.843,317,226,460,238,430,21.5,35.9,791,0,2024-12-01 12:08:52
15:24:08.545,323,246,444,249,409,21.4,36.1,710,0,2024-12-01 12:08:53
15:37:51.236,322,248,466,246,431,21.4,36.6,563,0,2024-12-01 12:08:54
15:41:46.803,327,243,496,259,429,21.3,36.4,540,0,2024-12-01 12:08:55
14:56:43.819,317,246,445,219,422,21.6,35.3,663,0,2024-12-01 12:08:56
15:45:47.646,315,233,471,247,437,21.3,36.7,485,0,2024-12-01 12:08:57
15:26:21.112,328,249,466,243,434,21.4,36.3,612,0,2024-12-01 12:08:58
14:54:04.321,321,257,468,235,421,21.7,35.4,561,0,2024-12-01 12:08:59
14:52:40.335,317,259,459,226,431,21.6,35.4,487,0,2024-12-01 12:09:00
15:05:00.592,296,246,434,228,427,21.4,35.7,608,0,2024-12-01 12:09:01
14:58:44.266,305,243,444,230,432,21.5,35.5,606,0,2024-12-01 12:09:02
15:07:41.284,310,241,451,235,418,21.5,35.9,679,0,2024-12-01 12:09:03
15:40:04.323,321,239,483,250,424,21.3,36.4,494,0,2024-12-01 12:09:04
15:51:45.226,321,243,479,257,428,21.2,36.8,538,0,2024-12-01 12:09:05
15:44:15.232,300,247,473,253,420,21.4,36.4,663,0,2024-12-01 12:09:06
15:43:43.023,315,244,467,247,408,21.4,36.7,438,0,2024-12-01 12:09:07
15:35:39.989,328,237,470,250,427,21.4,36.7,613,0,2024-12-01 12:09:08
15:11:38.676,328,238,450,234,432,21.4,35.6,790,0,2024-12-01 12:09:09
15:21:39.104,330,239,451,259,437,21.4,35.8,674,0,2024-12-01 12:09:10
15:28:55.896,322,232,446,248,435,21.4,36.1,656,0,2024-12-01 12:09:11
15:50:47.133,307,241,464,256,426,21.3,36.5,636,0,2024-12-01 12:09:12
15:17:29.190,313,219,469,224,428,21.4,35.7,719,0,2024-12-01 12:09:13
15:49:23.173,324,243,464,244,429,21.3,36.4,462,0,2024-12-01 12:09:14
15:00:44.192,325,234,453,230,429,21.5,35.4,660,0,2024-12-01 12:09:15
15:37:45.428,321,237,483,247,426,21.3,36.5,464,0,2024-12-01 12:09:16
15:47:28.012,324,251,468,261,428,21.3,36.4,445,0,2024-12-01 12:09:17
15:50:49.245,330,239,467,245,430,21.4,36.7,516,0,2024-12-01 12:09:18
15:30:24.125,325,250,461,261,430,21.4,36.0,617,0,2024-12-01 12:09:19
15:10:02.471,317,225,443,246,422,21.5,35.9,783,0,2024-12-01 12:09:20
