MQ4,MQ3,MQ7,MQ135,MQ136,Temp,Hum,PM,Label
320,247,449,241,430,21.5,35.8,699,0
322,238,461,239,434,21.5,35.9,712,0
323,248,465,245,426,21.5,35.9,715,0
321,241,454,272,434,21.5,35.8,662,0
321,230,462,244,430,21.5,35.8,583,0
321,248,463,256,442,21.5,35.8,685,0
318,317,460,226,419,21.5,35.8,841,0
318,242,452,242,429,21.5,35.8,716,0
318,241,460,243,418,21.5,35.8,695,0
318,236,452,241,432,21.5,35.9,743,0
320,248,448,247,432,21.4,35.9,697,0
322,233,458,236,432,21.5,36,684,0
320,242,463,220,428,21.5,36,623,0
324,242,457,234,434,21.5,36.1,687,0
321,236,457,238,413,21.5,35.8,695,0
326,234,468,230,436,21.5,35.9,747,0
314,226,460,213,413,21.5,35.9,701,0
320,213,462,236,435,21.5,35.9,653,0
322,237,458,293,438,21.5,35.9,623,0
275,243,448,244,431,21.5,35.9,701,0
317,240,460,239,433,21.5,35.9,703,0
320,214,461,230,433,21.5,35.8,657,0
303,247,448,241,431,21.5,35.9,717,0
322,247,461,263,423,21.5,35.8,665,0
321,231,458,231,433,21.5,35.9,739,0
304,256,446,244,437,21.6,35.7,665,0
314,218,457,231,428,21.4,35.9,717,0
325,246,459,248,434,21.5,35.8,649,0
320,240,459,241,431,21.6,35.7,750,0
320,219,460,229,433,21.5,35.8,617,0
323,241,521,241,425,21.5,35.8,676,0
321,248,454,244,434,21.5,35.9,691,0
322,236,460,218,430,21.6,35.7,750,0
320,242,489,237,431,21.5,35.8,671,0
320,242,466,236,431,21.6,35.8,693,0
322,247,464,227,434,21.5,35.8,659,0
318,250,463,265,434,21.5,35.7,598,0
316,212,460,228,433,21.5,35.7,693,0
316,253,458,279,429,21.5,35.8,663,0
316,247,460,235,432,21.5,35.8,699,0
321,243,453,243,428,21.5,35.4,699,0
318,244,461,244,430,21.5,35.9,735,0
306,249,453,245,431,21.5,35.7,643,0
318,227,466,241,417,21.5,35.9,611,0
355,216,444,250,426,21.5,35.4,814,0
320,228,462,230,414,21.5,35.6,673,0
320,247,458,244,432,21.5,35.7,707,0
320,223,494,245,431,21.5,35.8,705,0
320,242,462,272,430,21.5,35.9,646,0
330,247,466,242,430,21.5,35.7,802,0
322,220,462,231,426,21.5,35.9,721,0
321,248,452,239,425,21.6,35.5,662,0
312,249,450,244,432,21.5,35.9,731,0
318,241,490,234,436,21.5,35.4,638,0
320,241,460,242,425,21.6,35.6,668,0
313,245,464,242,427,21.5,35.6,701,0
323,236,460,238,423,21.5,35.7,696,0
314,233,456,244,428,21.5,35.7,716,0
318,237,463,238,419,21.6,35.6,704,0
321,248,465,229,431,21.5,35.9,693,0
317,247,464,239,433,21.5,35.7,815,0
317,240,482,239,438,21.5,35.9,704,0
315,235,461,221,430,21.5,35.7,691,0
317,241,513,241,427,21.5,35.7,609,0
314,244,452,246,434,21.5,35.6,701,0
320,248,464,234,428,21.5,35.7,729,0
320,236,462,236,427,21.5,35.7,771,0
316,237,456,245,430,21.5,35.7,684,0
325,246,462,240,433,21.6,35.6,763,0
323,238,489,242,430,21.5,35.7,683,0
317,249,464,242,421,21.5,35.7,713,0
323,247,474,247,428,21.5,35.9,727,0
324,238,461,238,430,21.5,35.7,742,0
321,235,458,241,427,21.5,35.7,659,0
321,248,482,243,430,21.5,35.7,747,0
315,249,491,243,430,21.5,35.7,690,0
321,206,462,192,428,21.6,35.6,747,0
321,245,457,286,429,21.5,35.9,660,0
320,242,459,233,436,21.5,35.7,689,0
321,250,461,241,435,21.5,35.8,689,0
313,240,461,237,427,21.5,35.8,685,0
320,243,462,242,420,21.5,35.8,670,0
305,249,457,246,434,21.6,35.6,741,0
322,247,460,248,432,21.5,35.7,671,0
314,249,467,226,438,21.6,35.6,747,0
321,236,457,240,432,21.5,35.9,687,0
320,246,460,239,445,21.6,35.7,587,0
322,249,462,244,416,21.5,35.8,779,0
320,251,462,227,432,21.6,35.7,678,0
316,243,438,242,429,21.6,35.5,749,0
320,250,461,227,433,21.6,35.8,603,0
325,254,472,252,440,21.6,35.8,732,0
319,243,464,280,437,21.6,35.5,625,0
320,241,478,242,426,21.6,35.7,755,0
317,205,456,227,429,21.5,35.7,693,0
318,238,503,242,424,21.5,35.7,652,0
320,247,456,244,429,21.5,35.7,672,0
317,243,457,240,422,21.5,35.6,737,0
322,240,459,226,429,21.6,35.5,669,0
309,239,455,242,427,21.6,35.6,800,0
315,242,449,230,434,21.6,35.8,743,0
326,239,458,243,421,21.6,35.6,667,0
324,233,455,237,422,21.5,35.7,767,0
312,235,458,240,432,21.6,35.8,779,0
